Disease,Diet_1,Diet_2,Diet_3,Diet_4,Diet_5
aplastic anemia,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
appendicitis,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
arrhythmia,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
arthritis of the hip,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
ascending cholangitis,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
asperger syndrome,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
aspergillosis,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
asthma,"Anti-inflammatory foods (fruits, vegetables)",Vitamin D-rich foods,Omega-3 fatty acids,"Avoid sulfites (wine, dried fruits)",Stay hydrated
astigmatism,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
atelectasis,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
athlete's foot,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
atonic bladder,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
atrial fibrillation,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
atrial flutter,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
atrophic skin condition,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
atrophic vaginitis,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
atrophy of the corpus cavernosum,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
attention deficit hyperactivity disorder (adhd),Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
autism,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
autonomic nervous system disorder,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
avascular necrosis,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
balanitis,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
bell palsy,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
benign kidney cyst,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
benign paroxysmal positional vertical (bppv),Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
benign prostatic hyperplasia (bph),Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
benign vaginal discharge (leukorrhea),Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
bipolar disorder,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
birth trauma,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
bladder cancer,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
bladder disorder,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
bladder obstruction,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
blepharitis,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
blepharospasm,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
bone cancer,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
bone disorder,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
bone spur of the calcaneous,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
brachial neuritis,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
brain cancer,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
breast cancer,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
breast cyst,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
breast infection (mastitis),Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
broken tooth,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
bunion,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
burn,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
bursitis,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
callus,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
carbon monoxide poisoning,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
cardiac arrest,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
cardiomyopathy,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
carpal tunnel syndrome,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
cataract,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
celiac disease,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
cellulitis or abscess of mouth,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
central atherosclerosis,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
central retinal artery or vein occlusion,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
cerebral edema,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
cerebral palsy,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
cervical cancer,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
cervical disorder,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
cervicitis,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
chalazion,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
chickenpox,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
chlamydia,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
cholecystitis,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
choledocholithiasis,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
cholesteatoma,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
chondromalacia of the patella,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
chorioretinitis,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
chronic back pain,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
chronic constipation,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
chronic glaucoma,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
chronic inflammatory demyelinating polyneuropathy (cidp),Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
chronic kidney disease,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
chronic knee pain,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
chronic obstructive pulmonary disease (copd),Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
chronic otitis media,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
chronic pain disorder,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
chronic pancreatitis,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
chronic rheumatic fever,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
chronic sinusitis,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
cirrhosis,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
coagulation (bleeding) disorder,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
cold sore,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
colonic polyp,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
colorectal cancer,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
common cold,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
complex regional pain syndrome,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
concussion,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
conduct disorder,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
conductive hearing loss,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
congenital heart defect,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
congenital malformation syndrome,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
conjunctivitis,"Vitamin A foods (carrots, sweet potato)",Vitamin C (citrus fruits),Zinc-rich foods,Stay hydrated,Omega-3 fatty acids
conjunctivitis due to allergy,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
conjunctivitis due to bacteria,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
conjunctivitis due to virus,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
contact dermatitis,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
conversion disorder,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
cornea infection,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
corneal abrasion,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
corneal disorder,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
coronary atherosclerosis,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
cranial nerve palsy,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
crohn disease,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
croup,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
crushing injury,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
cryptococcosis,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
cushing syndrome,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
cyst of the eyelid,Eat a balanced diet rich in fruits and vegetables,Stay well-hydrated by drinking plenty of water,Avoid processed and junk foods,Include lean proteins in your meals,Consult a nutritionist for personalized advice
