Disease,Precaution_1,Precaution_2,Precaution_3,Precaution_4,Precaution_5
acute fatty liver of pregnancy (aflp),Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
acute glaucoma,Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
acute kidney injury,Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
acute otitis media,Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
acute pancreatitis,Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
acute respiratory distress syndrome (ards),Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
acute sinusitis,Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
acute stress reaction,Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
adhesive capsulitis of the shoulder,Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
adjustment reaction,Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
adrenal adenoma,Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
alcohol abuse,Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
alcohol intoxication,Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
alcohol withdrawal,Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
alcoholic liver disease,Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
allergy,Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
allergy to animals,Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
alopecia,Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
alzheimer disease,Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
amblyopia,Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
amyotrophic lateral sclerosis (als),Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
anal fissure,Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
anal fistula,Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
anemia,Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
anemia due to chronic kidney disease,Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
anemia due to malignancy,Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
anemia of chronic disease,Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
angina,Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
ankylosing spondylitis,Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
anxiety,Practice mindfulness,Limit alcohol and caffeine,Maintain sleep routine,Seek therapy (CBT),Avoid stressful situations when possible
aortic valve disease,Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
aphakia,Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
aphthous ulcer,Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
aplastic anemia,Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
appendicitis,Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
arrhythmia,Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
arthritis of the hip,Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
ascending cholangitis,Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
asperger syndrome,Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
aspergillosis,Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
asthma,Avoid allergens and smoke,Use peak flow meter,Keep rescue inhaler handy,Get flu vaccine annually,Avoid cold air exposure
astigmatism,Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
atelectasis,Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
athlete's foot,Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
atonic bladder,Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
atrial fibrillation,Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
atrial flutter,Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
atrophic skin condition,Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
atrophic vaginitis,Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
atrophy of the corpus cavernosum,Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
attention deficit hyperactivity disorder (adhd),Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
autism,Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
autonomic nervous system disorder,Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
avascular necrosis,Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
balanitis,Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
bell palsy,Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
benign kidney cyst,Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
benign paroxysmal positional vertical (bppv),Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
benign prostatic hyperplasia (bph),Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
benign vaginal discharge (leukorrhea),Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
bipolar disorder,Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
birth trauma,Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
bladder cancer,Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
bladder disorder,Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
bladder obstruction,Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
blepharitis,Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
blepharospasm,Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
bone cancer,Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
bone disorder,Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
bone spur of the calcaneous,Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
brachial neuritis,Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
brain cancer,Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
breast cancer,Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
breast cyst,Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
breast infection (mastitis),Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
broken tooth,Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
bunion,Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
burn,Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
bursitis,Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
callus,Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
carbon monoxide poisoning,Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
cardiac arrest,Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
cardiomyopathy,Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
carpal tunnel syndrome,Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
cataract,Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
celiac disease,Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
cellulitis or abscess of mouth,Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
central atherosclerosis,Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
central retinal artery or vein occlusion,Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
cerebral edema,Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
cerebral palsy,Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
cervical cancer,Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
cervical disorder,Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
cervicitis,Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
chalazion,Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
chickenpox,Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
chlamydia,Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
cholecystitis,Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
choledocholithiasis,Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
cholesteatoma,Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
chondromalacia of the patella,Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
chorioretinitis,Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
chronic back pain,Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
chronic constipation,Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
chronic glaucoma,Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
chronic inflammatory demyelinating polyneuropathy (cidp),Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
chronic kidney disease,Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
chronic knee pain,Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
chronic obstructive pulmonary disease (copd),Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
chronic otitis media,Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
chronic pain disorder,Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
chronic pancreatitis,Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
chronic rheumatic fever,Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
chronic sinusitis,Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
cirrhosis,Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
coagulation (bleeding) disorder,Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
cold sore,Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
colonic polyp,Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
colorectal cancer,Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
common cold,Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
complex regional pain syndrome,Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
concussion,Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
conduct disorder,Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
conductive hearing loss,Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
congenital heart defect,Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
congenital malformation syndrome,Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
conjunctivitis,Wash hands frequently,Avoid touching eyes,Don't share towels or makeup,Discard used contact lenses,Use separate towels
conjunctivitis due to allergy,Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
conjunctivitis due to bacteria,Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
conjunctivitis due to virus,Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
contact dermatitis,Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
conversion disorder,Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
cornea infection,Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
corneal abrasion,Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
corneal disorder,Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
coronary atherosclerosis,Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
cranial nerve palsy,Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
crohn disease,Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
croup,Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
crushing injury,Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
cryptococcosis,Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
cushing syndrome,Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
cyst of the eyelid,Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
cystic fibrosis,Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
cysticercosis,Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
cystitis,Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
de quervain disease,Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
decubitus ulcer,Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
deep vein thrombosis (dvt),Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
degenerative disc disease,Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
delirium,Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
dementia,Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
dental caries,Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
depression,Maintain social connections,Follow therapy recommendations,Stick to medication schedule,Avoid isolation,Monitor mood changes
dermatitis due to sun exposure,Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
developmental disability,Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
deviated nasal septum,Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
diabetes insipidus,Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
diabetic ketoacidosis,Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
diabetic peripheral neuropathy,Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
diabetic retinopathy,Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
diaper rash,Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
dislocation of the ankle,Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
dislocation of the elbow,Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
dislocation of the finger,Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
dislocation of the foot,Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
dislocation of the hip,Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
dislocation of the shoulder,Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
dislocation of the vertebra,Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
dislocation of the wrist,Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
dissociative disorder,Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
diverticulitis,Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
diverticulosis,Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
down syndrome,Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
drug abuse,Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
drug abuse (barbiturates),Consult a healthcare professional immediately,Rest and avoid strenuous activities,Maintain good personal hygiene,Monitor symptoms closely,Follow doctor's instructions carefully
